Station	Latitude	Longitude	Line	Artist	Title	Date	Material	Description	Extra	artLink
28th St	40.745494	-73.988691	NYYYRYYYW	Mark Hadjipateras	City Dwellers (for Costas and Maro)	2002	Glass mosaic on platform walls	The Toy Center and the Flatiron Building are located near the subway station at 28th Street and BroadwayYYY as are the flowerYYY furYYY and garment districts. Each of these areas inspired artist Mark HadjipaterasYYY whose glass mosaics are rendered in a playful cartoon-like style. {City Dwellers} animates the walls of the station with a series of robot-like creatures. The figures are joyous and fancifulYYY but closer examination reveals universal symbols and forms that reflect  the neighborhood and its history - technologyYYY toysYYY and commerce.  These inventions invite riders to guess at their meanings; while they may seem familiarYYY the artist holds the key. In his proposalYYY Hadjipateras cited some of his plentiful sources: plants and flowersYYY patterns based on national flagsYYY Greek ethnic garbYYY a familyYYY New York taxisYYY radio broadcast wavesYYY etc.   Filtered through the artist's sensibilityYYY the result is a unique and compelling station environment.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=N&station=1"">City Dwellers (for Costas and Maro)</a>"
33 St-Rawson St	40.744587	-73.930997	7	Yumi Heo	Q is for Queens	1999	Faceted glass on mezzanines and platforms	When the 7 train emerges from the underground to become elevated as its travels through QueensYYY it passes through a succession of stations in one of the most ethnically diverse areas of the city.  The renovation of this line included a major work of art that pays homage to the borough of Queens and its diversity.   Artist Yumi Heo designed 30 faceted-glass panels for the stations' mezzanines and platforms.  Collectively titled {Q is for Queens}YYY the panels use each letter of the alphabet (e.g. A is for Aqueduct racetrack ... Z is for Zoo) to highlight neighborhood places and eventsYYY in a narrative that brings the richness of Queens to lifeYYY filtered through the artist's sensibility. 33rd Street-Rawson Street includes the letters A through H and two other muralsYYY including one of a ’Redbird’ subway car.  {(See 46th Street-Bliss Street and 40th Street-Lowery Street.)}		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=7&station=1"">Q is for Queens</a>"
33rd St	40.746081	-73.982076	6	James Garvey	Lariat Seat Loops	1997	Bronze seat rests attached to platform columns	The 14 sculptural {Lariat Seat Loops} encircle structural columns at the 33rd Street subway station in a variety of shapely configurations.  In eachYYY says artist James GarveyYYY ’the thick bronze bar ... resembles the lasso demonstration in a Will Rogers film clip.’  Useful and decorativeYYY some loops serve as handholds and others as seat rests.  Each bar swells where it touches the surface and is attached to the column with custom-forged bolts. *The {Loops} were handmade and individually crafted in Garvey's forge in Harlem.  Describing the workYYY he saidYYY ’I look at the lariat loops almost as earringsYYY as ornaments that adorn the architecture and add a little flair to the space.  My aim is to put inspiration into routine treks and refresh people caught up in mundane thoughts.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">Lariat Seat Loops</a>"
34th St-Herald Square	40.749567	-73.98795	BYYYDYYYFYYYNYYYQYYYRYYYVYYYW	Christopher Janney	Reach New YorkYYY An Urban Musical Instrument	1996	Handmade bronze-colored tiles at north end of mezzanine	A green painted rectangular structure is suspended from the subway platform and engages travelers with its ability to produce sounds.  Travelers place their hands in front of the box-like apparatus on the subway platform and a burst of musical notes are released on the opposite sideYYY playing to the person on the other side.  The hand motions elicit an outpouring of sounds that evoke urban life and bring about duets between strangers waiting for their respective trains.  Artist Christopher Janney creates sound sculptures and public art that use sound and motion.  This work brings about interaction and pleased participantsYYY serving in Janney's wordsYYY as ’a foil for getting total strangers to interact with each other.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Reach New YorkYYY An Urban Musical Instrument</a>"
34th St-Herald Square	40.749567	-73.98795	BYYYDYYYFYYYNYYYQYYYRYYYVYYYW	David Provan	Yab-Yum	1992	Kinetic aluminum sculpture at north end of station	A series of red wind paddlesYYY each 12 longYYY hangs between the east wall of the station and each of the 14 columns that run the length of the wall.  The artist's concept was for the delicately balanced paddles to spin and flutter in the wind generated by approaching and departing trains.  From the artist's proposal:  ’As every veteran subway rider knows - whether actively or intuitively - the approach of a train is preceded by a gust of wind funneling down the track. It's my interest to build and install a series of subway 'wind paddles' that will utilize and make visible these subterranean breezes.  The varying amounts of wind will set the brightly colored paddles floatingYYY tiltingYYY and spinning in descriptive patterns.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Yab-Yum</a>"
34th St-Herald Square	40.749567	-73.98795	BYYYDYYYFYYYNYYYQYYYRYYYVYYYW	Michele Oka Doner	Radiant Site	1991	Handmade bronze-colored tiles at north end of mezzanine	Michele Oka Doner's {Radiant Site}YYY at the busy 34th Street-Herald Square subway stationYYY fills a rectilinear floor-to-ceiling passage with golden light.  The midsection of the corridor is the brightestYYY glazed in copper-toned tiles; the tiles grow darker and reflect less light along the top and bottom of the passageway.  The result is a gently glowing surface.  The artist made the 11YYY000 tiles one-by-one by hand on a century-old foot-press at the venerable Pewabic Pottery in Detroit.  Their slightly irregular shapes and uneven surfaces were then hand-glazedYYY varying the recipe in tiny increments so as to achieve the desired luminosity.  Doner says that she considers not only the physical and chemical properties of the materials she will use but also ’their psychic and cosmic qualities.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Radiant Site</a>"
34th St-Herald Square	40.749567	-73.98795	BYYYDYYYFYYYNYYYQYYYRYYYVYYYW	Nicholas Pearson	Halo	1991	Hand-coiled aluminum spheres in atrium space at south end of station	In the 34th Street-Herald Square subway station riders are met by largeYYY luminous orbs that seem to hover in space.  Made of coiled aluminum rods - formed in a manner similar to the way in which ceramicists build pots from clay - the spheres are suspended on a framework of small beams from the larger steel structural components of the station.  {Halo} contrasts the aesthetic with the utilitarian and the result is ’an unexpected serenity.’  The artist sayYYY ’It was my aim to create an enigmatic distribution of objects that would stand in sharp contrast to the rectilinear nature of the siteYYY and in doing soYYY to establish an oasis of visual language amid an otherwise functional environment.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Halo</a>"
34th St-Penn Station	40.749567	-73.98795	1YYY2YYY3	Elizabeth Grajales	When the animals speak...	1998	Ceramic mosaic on 3 platform; handmade ceramic relief tiles on 1YYY 2 platform walls	In her series of mosaicsYYY Grajales shows wild beasts in a pastoral settingYYY reminiscent of the 19th-century paintings such as the ’Peaceable Kingdom’ by Edward Hicks.  One features a pair of lions happily coexisting with birds.  A nearby stream (representing the Hudson River) with cliffs behind (the Palisades in New Jersey) form the backdrop.  In another mosaicYYY a bear contentedly watches a doe and her young.  Other panels show birds in flight and nesting.  ’As a child on shopping tripsYYY’ notes GrajalesYYY ’I found the station dull and colorless.  I wanted to give people something cheerful but also calming - a refuge in the city.  That's why I used gentle colors like golden ochre and pale blues and greens for these idyllic Garden of Eden scenes.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">When the animals speak...</a>"
34th St-Penn Station	40.749567	-73.98795	AYYYCYYYE	Eric Fischl	The Garden of Circus Delights	2001	Glass mosaic throughout station	{The Garden of Circus Delights} is the artist's homage to the circusYYY which makes annual visits to Madison Square GardenYYY located above the stationYYY and also connected to the Long Island Rail Road.  Eric Fischl's work is narrative and this work follows in this tradition.  A series of murals takes commuters from the familiar to the bizarre circus world.  ’I thought it would be amusingYYY’ Fischl saysYYY ’to do a contemporary Dante's InfernoYYY to turn commuting into a spiritual quest.’  The murals portray fire-breathersYYY acrobatsYYY and animals; gradually one realizes that a commuter has left home and been pulled into the circusYYY where he meets incredible circus characters and thenYYY on the other side of the tentYYY he emerges in the white light and harmonyYYY a commuter againYYY but transported and transformed.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">The Garden of Circus Delights</a>"
36th St	40.655144	-74.003549	DYYYMYYYNYYYR	Owen Smith	An Underground Movement: DesignersYYY BuildersYYY Riders	1998	Ceramic mosaic on mezzanine walls; ceramic mosaic medallions on stairway walls	Owen Smith designed this brilliantly colored mosaic work with Brooklyn riders in mindYYY as ’a celebration of the working people who have made the subway what it is today.’  The  subject matter is the subway's creation and importance.  Smith saidYYY ’The west wall depicts the designers and engineers who achieved this great engineering feat.  The north wall pays tribute to the workers who dug the tunnels and laid the 680 miles of track.  And the third panel represents the people who use the subway every day and whose lives are improved by it.’  Smith highlights popular pastimes and haunts in the murals; on the Manhattan-bound side the Rockettes are seen kicking their heelsYYY and on the Brooklyn-bound platform Smith depicts a brownstone with Coney Island in the background.  Smith cites Diego Rivera and other WPA era muralists as influencesYYY and designed his murals in their spirit.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=D&station=1"">An Underground Movement: DesignersYYY BuildersYYY Riders</a>"
